ortho,type,post90,cgram,genre,nombre,infover,lemme
compléteras,1,complèteras,VER,,,ind:fut:2s;,compléter
compléterez,1,complèterez,VER,,,ind:fut:2p;,compléter
compléteront,1,complèteront,VER,,,ind:fut:3p;,compléter
compte-gouttes,2,compte-goutte/compte-gouttes,NOM,m,,,compte-gouttes
compte-tours,2,compte-tour/compte-tours,NOM,m,,,compte-tours
concéderait,1,concèderait,VER,,,cnd:pre:3s;,concéder
condottiere,1,condottière,NOM,m,s,,condottiere
condottieres,1,condottières,NOM,m,p,,condottiere
conférera,1,confèrera,VER,,,ind:fut:3s;,conférer
conféreraient,1,confèreraient,VER,,,cnd:pre:3p;,conférer
conférerait,1,confèrerait,VER,,,cnd:pre:3s;,conférer
conférerez,1,confèrerez,VER,,,ind:fut:2p;,conférer
conféreront,1,confèreront,VER,,,ind:fut:3p;,conférer
congrûment,1,congrument,ADV,,,,congrûment
connaît,1,connait,VER,,,ind:pre:3s;,connaître
connaîtra,1,connaitra,VER,,,ind:fut:3s;,connaître
connaîtrai,1,connaitrai,VER,,,ind:fut:1s;,connaître
connaîtraient,1,connaitraient,VER,,,cnd:pre:3p;,connaître
connaîtrais,1,connaitrais,VER,,,cnd:pre:1s;cnd:pre:2s;,connaître
connaîtrait,1,connaitrait,VER,,,cnd:pre:3s;,connaître
connaîtras,1,connaitras,VER,,,ind:fut:2s;,connaître
connaître,1,connaitre,VER,,,inf;;inf;;inf;;,connaître
connaîtrez,1,connaitrez,VER,,,ind:fut:2p;,connaître
connaîtriez,1,connaitriez,VER,,,cnd:pre:2p;,connaître
connaîtrions,1,connaitrions,VER,,,cnd:pre:1p;,connaître
connaîtrons,1,connaitrons,VER,,,ind:fut:1p;,connaître
connaîtront,1,connaitront,VER,,,ind:fut:3p;,connaître
considérera,1,considèrera,VER,,,ind:fut:3s;,considérer
considérerai,1,considèrerai,VER,,,ind:fut:1s;,considérer
considéreraient,1,considèreraient,VER,,,cnd:pre:3p;,considérer
considérerais,1,considèrerais,VER,,,cnd:pre:1s;cnd:pre:2s;,considérer
considérerait,1,considèrerait,VER,,,cnd:pre:3s;,considérer
considéreras,1,considèreras,VER,,,ind:fut:2s;,considérer
considéreriez,1,considèreriez,VER,,,cnd:pre:2p;,considérer
considérerions,1,considèrerions,VER,,,cnd:pre:1p;,considérer
considérerons,1,considèrerons,VER,,,ind:fut:1p;,considérer
contiguë,1,contigüe,ADJ,f,s,,contigu
contiguës,1,contigües,ADJ,f,p,,contigu
contiguïté,1,contigüité,NOM,f,s,,contiguïté
continûment,1,continument,ADV,,,,continûment
contremaître,1,contremaitre,NOM,m,s,,contremaître
contremaîtres,1,contremaitres,NOM,m,p,,contremaître
