affronterez,afronterez
affronterons,afronterons
affronteront,afronteront
affrontez,afrontez
affrontiez,afrontiez
affrontions,afrontions
affrontons,afrontons
affubla,afubla
affublait,afublait
affublant,afublant
affuble,afuble
affublé,afublé
affublée,afublée
affublement,afublement
affublent,afublent
affubler,afubler
affublerais,afublerais
affublerait,afublerait
affublons,afublons
affurait,afurait
affure,afure
affuré,afuré
affurée,afurée
affurer,afurer
affusion,afusion
affûta,afûta
affut,afut
affût,afut
affutage,afutage
affûtage,afûtage
affûtait,afûtait
affûtant,afûtant
affûtât,afûtât
affûte,afûte
affûté,afûté
affûtée,afûtée
affuter,afuter
affûter,afuter
affûterai,afûterai
affuteur,afuteur
affûteur,afûteur
affuteuse,afuteuse
affûtez,afûtez
affutiaux,afutiaus
afocaux,afocals
agammaglobulinémie,agamaglobulinémie
agapanthe,agapante
agathe,agate
aggiornamento,agiornamento
agglo,aglo
agglomérat,aglomérat
agglomération,aglomération
aggloméré,agloméré
agglomérer,aglomérer
agglutinant,aglutinant
agglutinante,aglutinante
agglutination,aglutination
agglutiner,aglutiner
agglutinine,aglutinine
agglutinogène,aglutinogène
aggravant,agravant
aggravante,agravante
aggravation,agravation
aggravée,agravée
aggraver,agraver
agha,aga
aglycone,aglicone
aglyphe,aglife
agnathe,agnate
agneaux,agneaus
agnelle,agnèle
agoraphobe,agorafobe
agoraphobie,agorafobie
agrammatical,agramatical
agrammaticale,agramaticale
agrammaticaux,agramaticaus
agrammatisme,agramatisme
agranulocytose,agranulocitose
agraphie,agrafie
agrippa,agripa
agrippai,agripai
agrippaient,agripaient
agrippait,agripait
agrippant,agripant
agrippe,agripe
agrippé,agripé
agrippée,agripée
agrippement,agripement
agrippent,agripent
agripper,agriper
agrippèrent,agripèrent
agrippez,agripez
agrippions,agripions
agropastoraux,agropastorals
agrosystème,agrosistème
aguerri,aguèri
aguerrie,aguèrie
aguerrira,aguèrira
aguerrir,aguérir
aguerrissait,aguèrissait
aguerrit,aguèrit
ahana,aana
ahan,aan
ahanaient,aanaient
ahanait,aanait
ahanant,aanant
ahanante,aanante
ahane,aane
ahané,aané
ahanement,aanement
ahanent,aanent
ahaner,aaner
ahou,aou
aïeux,aïeus
aiglette,aiglète
aigrelette,aigrelète
aigrette,aigrète
aigretté,aigrété
aigrettée,aigrétée
aiguillette,aiguillète
aiguillonner,aiguilloner
ailette,ailète
airelle,airèle
aisseaux,aisseaus
aisselle,aissèle
ajaccienne,ajacciène
akathisie,akatisie
akkadienne,akkadiène
albanophone,albanofone
albumineux,albumineus
alcalinoterreuse,alcalinotéreuse
alcalinoterreux,alcalinotéreus
alchémille,alquémille
alcyne,alcine
alcyonaires,alcionaires
alcyon,alcion
aldéhyde,aldéide
aldéhydique,aldéidique
alençonnais,alençonais
alençonnaise,alençonaise
aleph,alef
aléthique,alétique
alexithymie,alexitimie
algazelle,algazèle
algérienne,algériène
algodystrophie,algodistrofie
algorithme,algoritme
algorithmique,algoritmique
algothérapie,algotérapie
alicyclique,aliciclique
aliphatique,alifatique
alkyle,alkile
alla,ala
allai,alai
allaient,alaient
allais,alais
allaitais,alaitais
allaitait,alaitait
allait,alait
allaitant,alaitant
allaitante,alaitante
allaite,alaite
allaité,alaité
allaitée,alaitée
allaitement,alaitement
allaitent,alaitent
allaiterait,alaiterait
allaiter,alaiter
allâmes,alâmes
allant,alant
allante,alante
allantoïde,alantoïde
allassent,alassent
allât,alât
allé,alé
allécha,alécha
alléchait,aléchait
alléchant,aléchant
alléchante,aléchante
alléché,aléché
allèche,alèche
alléchée,aléchée
allécherait,alécherait
allécher,alécher
allée,alée
allégation,alégation
allégea,alégea
allégeaient,alégeaient
allégeais,alégeais
allégeait,alégeait
allégé,alégé
allège,alège
allégeance,alégeance
allégeant,alégeant
allégée,alégée
allègement,alègement
allègent,alègent
allégera,alégera
allégerait,alégerait
alléger,aléger
allégez,alégez
allégorie,alégorie
allégorique,alégorique
allégoriquement,alégoriquement
allégorisé,alégorisé
allègre,alègre
allégrement,alègrement
allègrement,alègrement
allégresse,alégresse
allégretto,alégréto
allegro,alégro
allégro,alégro
allégua,alégua
alléguaient,aléguaient
alléguais,aléguais
alléguait,aléguait
alléguant,aléguant
allégué,alégué
allègue,alègue
alléguée,aléguée
alléguera,aléguera
alléguer,aléguer
allèle,alèle
allélique,alélique
allelle,alèle
